preco,quartos,banheiros,area,endereco,vagas_garagem,condominio,fonte,tipo,transacao,regiao,preco_m2,data_coleta,id_unico,id_simulado
"R$ 350,000",4 quartos,4 banheiros,100 m²,"Cobertura em Ceilândia, Brasília - DF - 058",0 vagas,R$ 5093,Simulação Realística v2.0,cobertura,venda,Ceilândia,"R$ 3,500/m²",2025-09-27 14:13,Cobertura_Ceilândia_100_350000_57,SIM_0058
"R$ 238,745",3 quartos,3 banheiros,76 m²,"Apartamento em Ceilândia, Brasília - DF - 059",2 vagas,R$ 3416,Simulação Realística v2.0,apartamento,venda,Ceilândia,"R$ 3,141/m²",2025-09-27 14:13,Apartamento_Ceilândia_76_238745_58,SIM_0059
"R$ 350,000",1 quartos,1 banheiros,45 m²,"Studio em Sudoeste, Brasília - DF - 060",1 vagas,R$ 4735,Simulação Realística v2.0,studio,venda,Sudoeste,"R$ 7,777/m²",2025-09-27 14:13,Studio_Sudoeste_45_350000_59,SIM_0060
"R$ 441,446",4 quartos,4 banheiros,128 m²,"Apartamento em Guará, Brasília - DF - 061",1 vagas,R$ 3822,Simulação Realística v2.0,apartamento,venda,Guará,"R$ 3,448/m²",2025-09-27 14:13,Apartamento_Guará_128_441446_60,SIM_0061
"R$ 350,000",2 quartos,1 banheiros,73 m²,"Apartamento em Sudoeste, Brasília - DF - 062",3 vagas,R$ 4566,Simulação Realística v2.0,apartamento,venda,Sudoeste,"R$ 4,794/m²",2025-09-27 14:13,Apartamento_Sudoeste_73_350000_61,SIM_0062
"R$ 700,000",4 quartos,4 banheiros,158 m²,"Cobertura em Vicente Pires, Brasília - DF - 063",2 vagas,R$ 7735,Simulação Realística v2.0,cobertura,venda,Vicente Pires,"R$ 4,430/m²",2025-09-27 14:13,Cobertura_Vicente Pires_158_700000_62,SIM_0063
"R$ 823,944",3 quartos,2 banheiros,81 m²,"Cobertura em Asa Norte, Brasília - DF - 064",2 vagas,R$ 9738,Simulação Realística v2.0,cobertura,venda,Asa Norte,"R$ 10,172/m²",2025-09-27 14:13,Cobertura_Asa Norte_81_823944_63,SIM_0064
"R$ 200,000",1 quartos,1 banheiros,45 m²,"Studio em Taguatinga, Brasília - DF - 065",2 vagas,R$ 1080,Simulação Realística v2.0,studio,venda,Taguatinga,"R$ 4,444/m²",2025-09-27 14:13,Studio_Taguatinga_45_200000_64,SIM_0065
"R$ 447,454",2 quartos,1 banheiros,77 m²,"Apartamento em Asa Norte, Brasília - DF - 066",2 vagas,R$ 2995,Simulação Realística v2.0,apartamento,venda,Asa Norte,"R$ 5,811/m²",2025-09-27 14:13,Apartamento_Asa Norte_77_447454_65,SIM_0066
"R$ 727,049",3 quartos,3 banheiros,114 m²,"Apartamento em Águas Claras, Brasília - DF - 067",3 vagas,R$ 7195,Simulação Realística v2.0,apartamento,venda,Águas Claras,"R$ 6,377/m²",2025-09-27 14:13,Apartamento_Águas Claras_114_727049_66,SIM_0067
"R$ 400,000",1 quartos,1 banheiros,60 m²,"Studio em Asa Norte, Brasília - DF - 068",2 vagas,R$ 3544,Simulação Realística v2.0,studio,venda,Asa Norte,"R$ 6,666/m²",2025-09-27 14:13,Studio_Asa Norte_60_400000_67,SIM_0068
"R$ 300,000",1 quartos,1 banheiros,50 m²,"Studio em Águas Claras, Brasília - DF - 069",1 vagas,R$ 3244,Simulação Realística v2.0,studio,venda,Águas Claras,"R$ 6,000/m²",2025-09-27 14:13,Studio_Águas Claras_50_300000_68,SIM_0069
"R$ 472,525",3 quartos,3 banheiros,99 m²,"Duplex em Taguatinga, Brasília - DF - 070",1 vagas,R$ 4854,Simulação Realística v2.0,duplex,venda,Taguatinga,"R$ 4,772/m²",2025-09-27 14:13,Duplex_Taguatinga_99_472525_69,SIM_0070
"R$ 500,000",3 quartos,3 banheiros,94 m²,"Cobertura em Taguatinga, Brasília - DF - 071",2 vagas,R$ 3645,Simulação Realística v2.0,cobertura,venda,Taguatinga,"R$ 5,319/m²",2025-09-27 14:13,Cobertura_Taguatinga_94_500000_70,SIM_0071
"R$ 270,220",2 quartos,2 banheiros,72 m²,"Flat em Guará, Brasília - DF - 072",1 vagas,R$ 3274,Simulação Realística v2.0,flat,venda,Guará,"R$ 3,753/m²",2025-09-27 14:13,Flat_Guará_72_270220_71,SIM_0072
"R$ 250,000",1 quartos,1 banheiros,50 m²,"Apartamento em Guará, Brasília - DF - 073",1 vagas,R$ 3473,Simulação Realística v2.0,apartamento,venda,Guará,"R$ 5,000/m²",2025-09-27 14:13,Apartamento_Guará_50_250000_72,SIM_0073
"R$ 427,849",1 quartos,1 banheiros,74 m²,"Flat em Águas Claras, Brasília - DF - 074",1 vagas,R$ 4811,Simulação Realística v2.0,flat,venda,Águas Claras,"R$ 5,781/m²",2025-09-27 14:13,Flat_Águas Claras_74_427849_73,SIM_0074
"R$ 300,000",1 quartos,1 banheiros,54 m²,"Apartamento em Águas Claras, Brasília - DF - 075",2 vagas,R$ 3046,Simulação Realística v2.0,apartamento,venda,Águas Claras,"R$ 5,555/m²",2025-09-27 14:13,Apartamento_Águas Claras_54_300000_74,SIM_0075
"R$ 524,359",3 quartos,3 banheiros,111 m²,"Apartamento em Guará, Brasília - DF - 076",1 vagas,R$ 5299,Simulação Realística v2.0,apartamento,venda,Guará,"R$ 4,723/m²",2025-09-27 14:13,Apartamento_Guará_111_524359_75,SIM_0076
"R$ 313,088",2 quartos,2 banheiros,61 m²,"Apartamento em Águas Claras, Brasília - DF - 077",1 vagas,R$ 2356,Simulação Realística v2.0,apartamento,venda,Águas Claras,"R$ 5,132/m²",2025-09-27 14:13,Apartamento_Águas Claras_61_313088_76,SIM_0077
"R$ 305,286",3 quartos,3 banheiros,100 m²,"Apartamento em Ceilândia, Brasília - DF - 078",3 vagas,R$ 4460,Simulação Realística v2.0,apartamento,venda,Ceilândia,"R$ 3,052/m²",2025-09-27 14:13,Apartamento_Ceilândia_100_305286_77,SIM_0078
"R$ 350,000",1 quartos,1 banheiros,45 m²,"Apartamento em Sudoeste, Brasília - DF - 079",3 vagas,R$ 4415,Simulação Realística v2.0,apartamento,venda,Sudoeste,"R$ 7,777/m²",2025-09-27 14:13,Apartamento_Sudoeste_45_350000_78,SIM_0079
"R$ 400,000",2 quartos,2 banheiros,65 m²,"Apartamento em Asa Norte, Brasília - DF - 080",1 vagas,R$ 4540,Simulação Realística v2.0,apartamento,venda,Asa Norte,"R$ 6,153/m²",2025-09-27 14:13,Apartamento_Asa Norte_65_400000_79,SIM_0080
"R$ 605,072",3 quartos,2 banheiros,115 m²,"Apartamento em Vicente Pires, Brasília - DF - 081",2 vagas,R$ 6130,Simulação Realística v2.0,apartamento,venda,Vicente Pires,"R$ 5,261/m²",2025-09-27 14:13,Apartamento_Vicente Pires_115_605072_80,SIM_0081
"R$ 169,717",2 quartos,2 banheiros,65 m²,"Apartamento em Ceilândia, Brasília - DF - 082",1 vagas,R$ 1479,Simulação Realística v2.0,apartamento,venda,Ceilândia,"R$ 2,611/m²",2025-09-27 14:13,Apartamento_Ceilândia_65_169717_81,SIM_0082
"R$ 421,649",2 quartos,2 banheiros,83 m²,"Apartamento em Sudoeste, Brasília - DF - 083",0 vagas,R$ 5584,Simulação Realística v2.0,apartamento,venda,Sudoeste,"R$ 5,080/m²",2025-09-27 14:13,Apartamento_Sudoeste_83_421649_82,SIM_0083
"R$ 887,999",4 quartos,3 banheiros,147 m²,"Apartamento em Asa Sul, Brasília - DF - 084",1 vagas,R$ 8077,Simulação Realística v2.0,apartamento,venda,Asa Sul,"R$ 6,040/m²",2025-09-27 14:13,Apartamento_Asa Sul_147_887999_83,SIM_0084
"R$ 300,000",1 quartos,1 banheiros,50 m²,"Flat em Águas Claras, Brasília - DF - 085",3 vagas,R$ 1768,Simulação Realística v2.0,flat,venda,Águas Claras,"R$ 6,000/m²",2025-09-27 14:13,Flat_Águas Claras_50_300000_84,SIM_0085
"R$ 958,830",3 quartos,3 banheiros,107 m²,"Apartamento em Asa Sul, Brasília - DF - 086",1 vagas,R$ 7669,Simulação Realística v2.0,apartamento,venda,Asa Sul,"R$ 8,961/m²",2025-09-27 14:13,Apartamento_Asa Sul_107_958830_85,SIM_0086
"R$ 289,079",3 quartos,3 banheiros,96 m²,"Apartamento em Ceilândia, Brasília - DF - 087",1 vagas,R$ 1472,Simulação Realística v2.0,apartamento,venda,Ceilândia,"R$ 3,011/m²",2025-09-27 14:13,Apartamento_Ceilândia_96_289079_86,SIM_0087
"R$ 359,559",2 quartos,2 banheiros,87 m²,"Flat em Guará, Brasília - DF - 088",0 vagas,R$ 4203,Simulação Realística v2.0,flat,venda,Guará,"R$ 4,132/m²",2025-09-27 14:13,Flat_Guará_87_359559_87,SIM_0088
"R$ 309,559",2 quartos,2 banheiros,77 m²,"Apartamento em Vicente Pires, Brasília - DF - 089",1 vagas,R$ 2503,Simulação Realística v2.0,apartamento,venda,Vicente Pires,"R$ 4,020/m²",2025-09-27 14:13,Apartamento_Vicente Pires_77_309559_88,SIM_0089
"R$ 336,708",2 quartos,1 banheiros,74 m²,"Apartamento em Taguatinga, Brasília - DF - 090",2 vagas,R$ 2933,Simulação Realística v2.0,apartamento,venda,Taguatinga,"R$ 4,550/m²",2025-09-27 14:13,Apartamento_Taguatinga_74_336708_89,SIM_0090
"R$ 539,021",2 quartos,2 banheiros,103 m²,"Flat em Vicente Pires, Brasília - DF - 091",3 vagas,R$ 6403,Simulação Realística v2.0,flat,venda,Vicente Pires,"R$ 5,233/m²",2025-09-27 14:13,Flat_Vicente Pires_103_539021_90,SIM_0091
"R$ 400,000",1 quartos,1 banheiros,52 m²,"Flat em Asa Norte, Brasília - DF - 092",0 vagas,R$ 2642,Simulação Realística v2.0,flat,venda,Asa Norte,"R$ 7,692/m²",2025-09-27 14:13,Flat_Asa Norte_52_400000_91,SIM_0092
"R$ 194,766",2 quartos,1 banheiros,73 m²,"Apartamento em Ceilândia, Brasília - DF - 093",1 vagas,R$ 1350,Simulação Realística v2.0,apartamento,venda,Ceilândia,"R$ 2,668/m²",2025-09-27 14:13,Apartamento_Ceilândia_73_194766_92,SIM_0093
"R$ 250,000",1 quartos,1 banheiros,55 m²,"Studio em Guará, Brasília - DF - 094",1 vagas,R$ 2245,Simulação Realística v2.0,studio,venda,Guará,"R$ 4,545/m²",2025-09-27 14:13,Studio_Guará_55_250000_93,SIM_0094
"R$ 156,098",1 quartos,1 banheiros,40 m²,"Apartamento em Ceilândia, Brasília - DF - 095",3 vagas,R$ 2186,Simulação Realística v2.0,apartamento,venda,Ceilândia,"R$ 3,902/m²",2025-09-27 14:13,Apartamento_Ceilândia_40_156098_94,SIM_0095
"R$ 321,889",2 quartos,2 banheiros,78 m²,"Apartamento em Guará, Brasília - DF - 096",2 vagas,R$ 1876,Simulação Realística v2.0,apartamento,venda,Guará,"R$ 4,126/m²",2025-09-27 14:13,Apartamento_Guará_78_321889_95,SIM_0096
"R$ 563,440",3 quartos,3 banheiros,107 m²,"Apartamento em Asa Norte, Brasília - DF - 097",2 vagas,R$ 6463,Simulação Realística v2.0,apartamento,venda,Asa Norte,"R$ 5,265/m²",2025-09-27 14:13,Apartamento_Asa Norte_107_563440_96,SIM_0097
"R$ 297,088",2 quartos,2 banheiros,79 m²,"Apartamento em Guará, Brasília - DF - 098",2 vagas,R$ 1532,Simulação Realística v2.0,apartamento,venda,Guará,"R$ 3,760/m²",2025-09-27 14:13,Apartamento_Guará_79_297088_97,SIM_0098
"R$ 261,698",1 quartos,1 banheiros,62 m²,"Studio em Guará, Brasília - DF - 099",2 vagas,R$ 1603,Simulação Realística v2.0,studio,venda,Guará,"R$ 4,220/m²",2025-09-27 14:13,Studio_Guará_62_261698_98,SIM_0099
"R$ 407,650",3 quartos,2 banheiros,84 m²,"Apartamento em Taguatinga, Brasília - DF - 100",1 vagas,R$ 5291,Simulação Realística v2.0,apartamento,venda,Taguatinga,"R$ 4,852/m²",2025-09-27 14:13,Apartamento_Taguatinga_84_407650_99,SIM_0100
"R$ 738,768",3 quartos,3 banheiros,112 m²,"Apartamento em Asa Norte, Brasília - DF - 101",1 vagas,R$ 6611,Simulação Realística v2.0,apartamento,venda,Asa Norte,"R$ 6,596/m²",2025-09-27 14:13,Apartamento_Asa Norte_112_738768_100,SIM_0101
"R$ 381,786",2 quartos,2 banheiros,72 m²,"Apartamento em Guará, Brasília - DF - 102",1 vagas,R$ 3202,Simulação Realística v2.0,apartamento,venda,Guará,"R$ 5,302/m²",2025-09-27 14:13,Apartamento_Guará_72_381786_101,SIM_0102
"R$ 500,000",4 quartos,4 banheiros,116 m²,"Cobertura em Taguatinga, Brasília - DF - 103",2 vagas,R$ 5818,Simulação Realística v2.0,cobertura,venda,Taguatinga,"R$ 4,310/m²",2025-09-27 14:13,Cobertura_Taguatinga_116_500000_102,SIM_0103
"R$ 362,034",3 quartos,2 banheiros,118 m²,"Apartamento em Taguatinga, Brasília - DF - 104",1 vagas,R$ 1958,Simulação Realística v2.0,apartamento,venda,Taguatinga,"R$ 3,068/m²",2025-09-27 14:13,Apartamento_Taguatinga_118_362034_103,SIM_0104
"R$ 350,000",4 quartos,4 banheiros,100 m²,"Apartamento em Ceilândia, Brasília - DF - 105",2 vagas,R$ 1877,Simulação Realística v2.0,apartamento,venda,Ceilândia,"R$ 3,500/m²",2025-09-27 14:13,Apartamento_Ceilândia_100_350000_104,SIM_0105
"R$ 629,123",3 quartos,2 banheiros,104 m²,"Apartamento em Águas Claras, Brasília - DF - 106",1 vagas,R$ 7263,Simulação Realística v2.0,apartamento,venda,Águas Claras,"R$ 6,049/m²",2025-09-27 14:13,Apartamento_Águas Claras_104_629123_105,SIM_0106
"R$ 600,000",4 quartos,4 banheiros,130 m²,"Cobertura em Guará, Brasília - DF - 107",2 vagas,R$ 3096,Simulação Realística v2.0,cobertura,venda,Guará,"R$ 4,615/m²",2025-09-27 14:13,Cobertura_Guará_130_600000_106,SIM_0107
"R$ 666,342",2 quartos,2 banheiros,94 m²,"Cobertura em Sudoeste, Brasília - DF - 108",1 vagas,R$ 9705,Simulação Realística v2.0,cobertura,venda,Sudoeste,"R$ 7,088/m²",2025-09-27 14:13,Cobertura_Sudoeste_94_666342_107,SIM_0108
"R$ 254,977",3 quartos,3 banheiros,86 m²,"Apartamento em Ceilândia, Brasília - DF - 109",1 vagas,R$ 2983,Simulação Realística v2.0,apartamento,venda,Ceilândia,"R$ 2,964/m²",2025-09-27 14:13,Apartamento_Ceilândia_86_254977_108,SIM_0109
"R$ 456,445",4 quartos,3 banheiros,120 m²,"Apartamento em Taguatinga, Brasília - DF - 110",2 vagas,R$ 4318,Simulação Realística v2.0,apartamento,venda,Taguatinga,"R$ 3,803/m²",2025-09-27 14:13,Apartamento_Taguatinga_120_456445_109,SIM_0110
"R$ 456,458",3 quartos,3 banheiros,110 m²,"Apartamento em Vicente Pires, Brasília - DF - 111",2 vagas,R$ 4787,Simulação Realística v2.0,apartamento,venda,Vicente Pires,"R$ 4,149/m²",2025-09-27 14:13,Apartamento_Vicente Pires_110_456458_110,SIM_0111
"R$ 353,939",2 quartos,2 banheiros,66 m²,"Apartamento em Guará, Brasília - DF - 112",1 vagas,R$ 2504,Simulação Realística v2.0,apartamento,venda,Guará,"R$ 5,362/m²",2025-09-27 14:13,Apartamento_Guará_66_353939_111,SIM_0112
"R$ 200,000",1 quartos,1 banheiros,45 m²,"Studio em Taguatinga, Brasília - DF - 113",1 vagas,R$ 2658,Simulação Realística v2.0,studio,venda,Taguatinga,"R$ 4,444/m²",2025-09-27 14:13,Studio_Taguatinga_45_200000_112,SIM_0113
"R$ 530,055",4 quartos,3 banheiros,112 m²,"Apartamento em Guará, Brasília - DF - 114",2 vagas,R$ 5609,Simulação Realística v2.0,apartamento,venda,Guará,"R$ 4,732/m²",2025-09-27 14:13,Apartamento_Guará_112_530055_113,SIM_0114
"R$ 873,688",3 quartos,2 banheiros,101 m²,"Apartamento em Asa Sul, Brasília - DF - 115",1 vagas,R$ 7433,Simulação Realística v2.0,apartamento,venda,Asa Sul,"R$ 8,650/m²",2025-09-27 14:13,Apartamento_Asa Sul_101_873688_114,SIM_0115
"R$ 964,399",4 quartos,3 banheiros,111 m²,"Cobertura em Asa Norte, Brasília - DF - 116",3 vagas,R$ 11664,Simulação Realística v2.0,cobertura,venda,Asa Norte,"R$ 8,688/m²",2025-09-27 14:13,Cobertura_Asa Norte_111_964399_115,SIM_0116
"R$ 891,520",3 quartos,3 banheiros,119 m²,"Apartamento em Sudoeste, Brasília - DF - 117",1 vagas,R$ 8626,Simulação Realística v2.0,apartamento,venda,Sudoeste,"R$ 7,491/m²",2025-09-27 14:13,Apartamento_Sudoeste_119_891520_116,SIM_0117
"R$ 930,025",3 quartos,3 banheiros,115 m²,"Cobertura em Asa Sul, Brasília - DF - 118",2 vagas,R$ 12063,Simulação Realística v2.0,cobertura,venda,Asa Sul,"R$ 8,087/m²",2025-09-27 14:13,Cobertura_Asa Sul_115_930025_117,SIM_0118
"R$ 692,229",3 quartos,3 banheiros,113 m²,"Apartamento em Asa Sul, Brasília - DF - 119",2 vagas,R$ 8036,Simulação Realística v2.0,apartamento,venda,Asa Sul,"R$ 6,125/m²",2025-09-27 14:13,Apartamento_Asa Sul_113_692229_118,SIM_0119
"R$ 352,715",4 quartos,4 banheiros,113 m²,"Apartamento em Taguatinga, Brasília - DF - 120",1 vagas,R$ 5256,Simulação Realística v2.0,apartamento,venda,Taguatinga,"R$ 3,121/m²",2025-09-27 14:13,Apartamento_Taguatinga_113_352715_119,SIM_0120
"R$ 467,073",3 quartos,3 banheiros,97 m²,"Duplex em Águas Claras, Brasília - DF - 121",1 vagas,R$ 6271,Simulação Realística v2.0,duplex,venda,Águas Claras,"R$ 4,815/m²",2025-09-27 14:13,Duplex_Águas Claras_97_467073_120,SIM_0121
"R$ 834,106",3 quartos,3 banheiros,103 m²,"Apartamento em Asa Sul, Brasília - DF - 122",1 vagas,R$ 8948,Simulação Realística v2.0,apartamento,venda,Asa Sul,"R$ 8,098/m²",2025-09-27 14:13,Apartamento_Asa Sul_103_834106_121,SIM_0122
"R$ 498,516",2 quartos,1 banheiros,89 m²,"Apartamento em Vicente Pires, Brasília - DF - 123",1 vagas,R$ 5954,Simulação Realística v2.0,apartamento,venda,Vicente Pires,"R$ 5,601/m²",2025-09-27 14:13,Apartamento_Vicente Pires_89_498516_122,SIM_0123
"R$ 450,000",1 quartos,1 banheiros,61 m²,"Flat em Asa Sul, Brasília - DF - 124",1 vagas,R$ 4653,Simulação Realística v2.0,flat,venda,Asa Sul,"R$ 7,377/m²",2025-09-27 14:13,Flat_Asa Sul_61_450000_123,SIM_0124
"R$ 732,439",3 quartos,2 banheiros,112 m²,"Apartamento em Águas Claras, Brasília - DF - 125",1 vagas,R$ 8872,Simulação Realística v2.0,apartamento,venda,Águas Claras,"R$ 6,539/m²",2025-09-27 14:13,Apartamento_Águas Claras_112_732439_124,SIM_0125
"R$ 200,000",2 quartos,2 banheiros,62 m²,"Studio em Taguatinga, Brasília - DF - 126",1 vagas,R$ 1859,Simulação Realística v2.0,studio,venda,Taguatinga,"R$ 3,225/m²",2025-09-27 14:13,Studio_Taguatinga_62_200000_125,SIM_0126
"R$ 300,000",1 quartos,1 banheiros,64 m²,"Flat em Águas Claras, Brasília - DF - 127",1 vagas,R$ 2062,Simulação Realística v2.0,flat,venda,Águas Claras,"R$ 4,687/m²",2025-09-27 14:13,Flat_Águas Claras_64_300000_126,SIM_0127
"R$ 703,141",4 quartos,4 banheiros,117 m²,"Cobertura em Águas Claras, Brasília - DF - 128",2 vagas,R$ 5012,Simulação Realística v2.0,cobertura,venda,Águas Claras,"R$ 6,009/m²",2025-09-27 14:13,Cobertura_Águas Claras_117_703141_127,SIM_0128
"R$ 280,000",1 quartos,1 banheiros,60 m²,"Flat em Vicente Pires, Brasília - DF - 129",1 vagas,R$ 2142,Simulação Realística v2.0,flat,venda,Vicente Pires,"R$ 4,666/m²",2025-09-27 14:13,Flat_Vicente Pires_60_280000_128,SIM_0129
"R$ 424,333",1 quartos,1 banheiros,66 m²,"Apartamento em Águas Claras, Brasília - DF - 130",1 vagas,R$ 3033,Simulação Realística v2.0,apartamento,venda,Águas Claras,"R$ 6,429/m²",2025-09-27 14:13,Apartamento_Águas Claras_66_424333_129,SIM_0130
"R$ 634,086",3 quartos,2 banheiros,100 m²,"Cobertura em Águas Claras, Brasília - DF - 131",0 vagas,R$ 5058,Simulação Realística v2.0,cobertura,venda,Águas Claras,"R$ 6,340/m²",2025-09-27 14:13,Cobertura_Águas Claras_100_634086_130,SIM_0131
"R$ 306,609",3 quartos,2 banheiros,86 m²,"Cobertura em Ceilândia, Brasília - DF - 132",2 vagas,R$ 3265,Simulação Realística v2.0,cobertura,venda,Ceilândia,"R$ 3,565/m²",2025-09-27 14:13,Cobertura_Ceilândia_86_306609_131,SIM_0132
"R$ 864,274",4 quartos,4 banheiros,111 m²,"Apartamento em Asa Norte, Brasília - DF - 133",1 vagas,R$ 5713,Simulação Realística v2.0,apartamento,venda,Asa Norte,"R$ 7,786/m²",2025-09-27 14:13,Apartamento_Asa Norte_111_864274_132,SIM_0133
"R$ 474,112",2 quartos,2 banheiros,81 m²,"Apartamento em Sudoeste, Brasília - DF - 134",3 vagas,R$ 6106,Simulação Realística v2.0,apartamento,venda,Sudoeste,"R$ 5,853/m²",2025-09-27 14:13,Apartamento_Sudoeste_81_474112_133,SIM_0134
"R$ 500,000",4 quartos,4 banheiros,120 m²,"Apartamento em Taguatinga, Brasília - DF - 135",2 vagas,R$ 3945,Simulação Realística v2.0,apartamento,venda,Taguatinga,"R$ 4,166/m²",2025-09-27 14:13,Apartamento_Taguatinga_120_500000_134,SIM_0135
"R$ 700,000",5 quartos,5 banheiros,151 m²,"Cobertura em Vicente Pires, Brasília - DF - 136",1 vagas,R$ 5601,Simulação Realística v2.0,cobertura,venda,Vicente Pires,"R$ 4,635/m²",2025-09-27 14:13,Cobertura_Vicente Pires_151_700000_135,SIM_0136
"R$ 411,577",4 quartos,3 banheiros,120 m²,"Apartamento em Taguatinga, Brasília - DF - 137",0 vagas,R$ 2953,Simulação Realística v2.0,apartamento,venda,Taguatinga,"R$ 3,429/m²",2025-09-27 14:13,Apartamento_Taguatinga_120_411577_136,SIM_0137
"R$ 477,777",3 quartos,3 banheiros,102 m²,"Apartamento em Sudoeste, Brasília - DF - 138",1 vagas,R$ 5942,Simulação Realística v2.0,apartamento,venda,Sudoeste,"R$ 4,684/m²",2025-09-27 14:13,Apartamento_Sudoeste_102_477777_137,SIM_0138
"R$ 823,716",4 quartos,4 banheiros,124 m²,"Duplex em Asa Norte, Brasília - DF - 139",1 vagas,R$ 5988,Simulação Realística v2.0,duplex,venda,Asa Norte,"R$ 6,642/m²",2025-09-27 14:13,Duplex_Asa Norte_124_823716_138,SIM_0139
"R$ 350,000",2 quartos,2 banheiros,61 m²,"Apartamento em Sudoeste, Brasília - DF - 140",1 vagas,R$ 2340,Simulação Realística v2.0,apartamento,venda,Sudoeste,"R$ 5,737/m²",2025-09-27 14:13,Apartamento_Sudoeste_61_350000_139,SIM_0140
"R$ 600,000",4 quartos,4 banheiros,130 m²,"Apartamento em Guará, Brasília - DF - 141",2 vagas,R$ 5163,Simulação Realística v2.0,apartamento,venda,Guará,"R$ 4,615/m²",2025-09-27 14:13,Apartamento_Guará_130_600000_140,SIM_0141
"R$ 670,086",3 quartos,3 banheiros,112 m²,"Apartamento em Vicente Pires, Brasília - DF - 142",2 vagas,R$ 5030,Simulação Realística v2.0,apartamento,venda,Vicente Pires,"R$ 5,982/m²",2025-09-27 14:13,Apartamento_Vicente Pires_112_670086_141,SIM_0142
"R$ 481,601",2 quartos,2 banheiros,89 m²,"Apartamento em Águas Claras, Brasília - DF - 143",2 vagas,R$ 4051,Simulação Realística v2.0,apartamento,venda,Águas Claras,"R$ 5,411/m²",2025-09-27 14:13,Apartamento_Águas Claras_89_481601_142,SIM_0143
"R$ 350,000",3 quartos,3 banheiros,100 m²,"Apartamento em Ceilândia, Brasília - DF - 144",2 vagas,R$ 2964,Simulação Realística v2.0,apartamento,venda,Ceilândia,"R$ 3,500/m²",2025-09-27 14:13,Apartamento_Ceilândia_100_350000_143,SIM_0144
"R$ 400,000",1 quartos,1 banheiros,50 m²,"Apartamento em Asa Norte, Brasília - DF - 145",3 vagas,R$ 4605,Simulação Realística v2.0,apartamento,venda,Asa Norte,"R$ 8,000/m²",2025-09-27 14:13,Apartamento_Asa Norte_50_400000_144,SIM_0145
"R$ 870,499",3 quartos,3 banheiros,113 m²,"Apartamento em Asa Norte, Brasília - DF - 146",1 vagas,R$ 8960,Simulação Realística v2.0,apartamento,venda,Asa Norte,"R$ 7,703/m²",2025-09-27 14:13,Apartamento_Asa Norte_113_870499_145,SIM_0146
"R$ 357,430",2 quartos,2 banheiros,71 m²,"Apartamento em Guará, Brasília - DF - 147",2 vagas,R$ 4095,Simulação Realística v2.0,apartamento,venda,Guará,"R$ 5,034/m²",2025-09-27 14:13,Apartamento_Guará_71_357430_146,SIM_0147
"R$ 864,429",3 quartos,3 banheiros,101 m²,"Duplex em Sudoeste, Brasília - DF - 148",0 vagas,R$ 9663,Simulação Realística v2.0,duplex,venda,Sudoeste,"R$ 8,558/m²",2025-09-27 14:13,Duplex_Sudoeste_101_864429_147,SIM_0148
"R$ 525,260",3 quartos,3 banheiros,88 m²,"Duplex em Guará, Brasília - DF - 149",1 vagas,R$ 4820,Simulação Realística v2.0,duplex,venda,Guará,"R$ 5,968/m²",2025-09-27 14:13,Duplex_Guará_88_525260_148,SIM_0149
"R$ 576,483",3 quartos,3 banheiros,102 m²,"Cobertura em Guará, Brasília - DF - 150",3 vagas,R$ 6842,Simulação Realística v2.0,cobertura,venda,Guará,"R$ 5,651/m²",2025-09-27 14:13,Cobertura_Guará_102_576483_149,SIM_0150
"R$ 659,323",3 quartos,3 banheiros,108 m²,"Apartamento em Águas Claras, Brasília - DF - 151",2 vagas,R$ 5311,Simulação Realística v2.0,apartamento,venda,Águas Claras,"R$ 6,104/m²",2025-09-27 14:13,Apartamento_Águas Claras_108_659323_150,SIM_0151
"R$ 500,000",4 quartos,4 banheiros,115 m²,"Apartamento em Taguatinga, Brasília - DF - 152",0 vagas,R$ 5239,Simulação Realística v2.0,apartamento,venda,Taguatinga,"R$ 4,347/m²",2025-09-27 14:13,Apartamento_Taguatinga_115_500000_151,SIM_0152
"R$ 718,798",3 quartos,3 banheiros,111 m²,"Flat em Asa Norte, Brasília - DF - 153",1 vagas,R$ 3629,Simulação Realística v2.0,flat,venda,Asa Norte,"R$ 6,475/m²",2025-09-27 14:13,Flat_Asa Norte_111_718798_152,SIM_0153
"R$ 569,684",3 quartos,3 banheiros,115 m²,"Apartamento em Guará, Brasília - DF - 154",3 vagas,R$ 3985,Simulação Realística v2.0,apartamento,venda,Guará,"R$ 4,953/m²",2025-09-27 14:13,Apartamento_Guará_115_569684_153,SIM_0154
"R$ 167,858",2 quartos,2 banheiros,58 m²,"Flat em Ceilândia, Brasília - DF - 155",2 vagas,R$ 1870,Simulação Realística v2.0,flat,venda,Ceilândia,"R$ 2,894/m²",2025-09-27 14:13,Flat_Ceilândia_58_167858_154,SIM_0155
"R$ 403,089",2 quartos,2 banheiros,66 m²,"Flat em Sudoeste, Brasília - DF - 156",1 vagas,R$ 3232,Simulação Realística v2.0,flat,venda,Sudoeste,"R$ 6,107/m²",2025-09-27 14:13,Flat_Sudoeste_66_403089_155,SIM_0156
"R$ 400,693",2 quartos,2 banheiros,93 m²,"Apartamento em Guará, Brasília - DF - 157",1 vagas,R$ 2930,Simulação Realística v2.0,apartamento,venda,Guará,"R$ 4,308/m²",2025-09-27 14:13,Apartamento_Guará_93_400693_156,SIM_0157
